Frame 0:
  Clase: JUGADOR, Confianza: 0.96, Coordenadas: (949.51, 397.20, 993.23, 580.25)
  Clase: JUGADOR, Confianza: 0.95, Coordenadas: (52.16, 463.67, 115.42, 725.32)
  Clase: JUGADOR, Confianza: 0.95, Coordenadas: (1175.81, 378.32, 1199.55, 491.48)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (654.44, 315.62, 684.55, 426.74)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (875.41, 348.28, 903.16, 482.74)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (498.62, 325.94, 526.07, 450.68)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (757.97, 305.86, 778.68, 409.35)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (615.81, 351.80, 646.19, 505.27)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (1031.92, 316.37, 1046.45, 386.18)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (873.82, 307.17, 892.66, 388.90)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (606.23, 331.86, 632.79, 468.72)
  Clase: JUGADOR, Confianza: 0.89, Coordenadas: (955.05, 340.13, 976.95, 430.95)
  Clase: BALON, Confianza: 0.89, Coordenadas: (148.68, 656.14, 164.66, 685.57)
Frame 1:
  Clase: JUGADOR, Confianza: 0.96, Coordenadas: (949.49, 397.33, 993.24, 580.24)
  Clase: JUGADOR, Confianza: 0.95, Coordenadas: (52.25, 463.59, 115.48, 725.35)
  Clase: JUGADOR, Confianza: 0.95, Coordenadas: (1175.64, 378.35, 1199.53, 491.51)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (654.43, 315.63, 684.36, 426.98)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (875.37, 348.27, 903.12, 482.72)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (498.68, 325.75, 526.16, 450.98)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (757.97, 305.87, 778.61, 409.32)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (615.77, 351.86, 646.24, 505.35)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (1031.97, 316.31, 1046.35, 386.09)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (873.82, 307.18, 892.71, 389.05)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (606.21, 331.85, 632.56, 468.85)
  Clase: JUGADOR, Confianza: 0.89, Coordenadas: (954.99, 340.14, 976.93, 430.51)
  Clase: BALON, Confianza: 0.89, Coordenadas: (148.68, 656.14, 164.61, 685.75)
Frame 2:
  Clase: JUGADOR, Confianza: 0.96, Coordenadas: (950.94, 396.06, 993.21, 580.46)
  Clase: JUGADOR, Confianza: 0.95, Coordenadas: (51.85, 464.88, 113.57, 725.15)
  Clase: JUGADOR, Confianza: 0.95, Coordenadas: (655.50, 315.07, 684.60, 427.62)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (1176.58, 378.31, 1199.25, 491.79)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (498.91, 326.11, 525.77, 451.72)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (757.61, 305.87, 778.13, 409.54)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (877.65, 348.97, 903.38, 485.90)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (1031.76, 316.52, 1046.14, 385.92)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (615.45, 351.43, 645.58, 505.40)
  Clase: JUGADOR, Confianza: 0.91, Coordenadas: (876.60, 307.10, 894.30, 390.39)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (604.58, 335.22, 632.75, 471.04)
  Clase: BALON, Confianza: 0.89, Coordenadas: (149.54, 655.25, 165.09, 685.16)
  Clase: JUGADOR, Confianza: 0.89, Coordenadas: (954.01, 339.99, 974.39, 429.67)
Frame 3:
  Clase: JUGADOR, Confianza: 0.96, Coordenadas: (950.94, 396.03, 993.21, 580.47)
  Clase: JUGADOR, Confianza: 0.95, Coordenadas: (51.89, 464.82, 113.56, 725.19)
  Clase: JUGADOR, Confianza: 0.95, Coordenadas: (655.50, 315.08, 684.60, 427.63)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (1176.58, 378.32, 1199.25, 491.79)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (498.98, 326.12, 525.71, 451.71)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (757.61, 305.87, 778.13, 409.54)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (877.66, 348.98, 903.38, 485.90)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (1031.76, 316.52, 1046.15, 385.89)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (615.41, 351.45, 645.59, 505.39)
  Clase: JUGADOR, Confianza: 0.91, Coordenadas: (876.59, 307.10, 894.30, 390.42)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (604.60, 335.21, 632.67, 471.00)
  Clase: BALON, Confianza: 0.89, Coordenadas: (149.54, 655.25, 165.09, 685.16)
  Clase: JUGADOR, Confianza: 0.89, Coordenadas: (954.00, 339.98, 974.39, 429.68)
Frame 4:
  Clase: JUGADOR, Confianza: 0.95, Coordenadas: (952.76, 394.09, 993.10, 580.52)
  Clase: JUGADOR, Confianza: 0.95, Coordenadas: (52.49, 467.01, 112.01, 726.14)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (657.06, 313.76, 683.61, 428.77)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (878.29, 350.59, 903.89, 492.03)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (1177.08, 378.57, 1198.79, 491.87)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (756.54, 305.84, 777.57, 409.67)
